n_train,n_test,repetition,covariate_index,covariate,mse_mlm,mse_bayes,ratio_mlm_bayes,percent_reduction
10,34,21,5,Length,0.006150756401421162,0.003050432021646131,2.0163558334605916,50.405579044858385
10,34,22,1,Status: Diseased,0.1031988799127306,0.039026095780758954,2.6443557278309857,62.183605273854624
10,34,22,2,Sex: Male,0.7277100322102309,0.5874398635753504,1.2387821755594701,19.275557904409556
10,34,22,3,Age,0.05100106965787117,0.0350249960641573,1.4561334871943905,31.324977497306715
10,34,22,4,Weight,9.114895827238165,6.308090232351478,1.4449533046454837,30.79361133781774
10,34,22,5,Length,0.012019250609085382,0.0071667950947374905,1.6770746826445482,40.37236323768728
10,34,23,1,Status: Diseased,0.23824249496996044,0.08567964045290064,2.7806196864344437,64.03679349324149
10,34,23,2,Sex: Male,0.14616941817823317,0.10016457459665844,1.4592925569426767,31.473644866998285
10,34,23,3,Age,0.043075478681385886,0.01724882891042677,2.497298738660868,59.956733068458114
10,34,23,4,Weight,2.4371865013962855,0.8559042589327134,2.8474989766207996,64.8814623566002
10,34,23,5,Length,0.008145713344345964,0.0016159015825146959,5.040971203004489,80.16255281514034
10,34,24,1,Status: Diseased,0.48438453546126753,0.2122423333346638,2.2822239458585756,56.183090541371094
10,34,24,2,Sex: Male,0.39576427700362177,0.18965125117763657,2.086800242793704,52.0797448891778
10,34,24,3,Age,0.019007172177023676,0.013526151043580285,1.4052166145257388,28.836594325530342
10,34,24,4,Weight,5.495446624453813,2.0422667946712005,2.690856375275183,62.83710980680885
10,34,24,5,Length,0.008159381425362053,0.0047667183865049015,1.711739768068143,41.579904921611266
10,34,25,1,Status: Diseased,0.38813042017887045,0.2780682270592466,1.395810029371581,28.357012848645446
10,34,25,2,Sex: Male,0.3740770119350816,0.2651579807034412,1.4107703299847418,29.11674007130449
10,34,25,3,Age,0.06904583145296808,0.04929361964757333,1.4007052423135886,28.607392205638593
10,34,25,4,Weight,3.8607016945490646,2.437033964341157,1.5841805042683477,36.87588015976443
10,34,25,5,Length,0.017102005412352173,0.012085532724996798,1.4150808078968404,29.33265758255552
10,34,26,1,Status: Diseased,0.48273782395590636,0.21484173555909522,2.2469462122880803,55.4951518406979
10,34,26,2,Sex: Male,0.2591652683803641,0.21103878084926636,1.228045704857781,18.569805989768984
10,34,26,3,Age,0.023704688174249318,0.015200739377040286,1.5594431024884017,35.87454403406568
10,34,26,4,Weight,3.0404771382372537,0.7580355987702703,4.010995186993452,75.06853153943631
10,34,26,5,Length,0.00697911749046815,0.002454530577898509,2.843361395987761,64.83035883475488
10,34,27,1,Status: Diseased,0.9561785369998627,0.6110537371669944,1.5648026987494708,36.09417974552569
10,34,27,2,Sex: Male,0.29573476222162226,0.1803683843638601,1.639615297684497,39.010083559709194
10,34,27,3,Age,0.0785722751727341,0.05621426047278299,1.397728521409191,28.455348468399343
10,34,27,4,Weight,7.406507080513979,4.210002375955566,1.7592643469311313,43.1580591203133
10,34,27,5,Length,0.02253727291555945,0.016277455430942014,1.3845697818786882,27.775399038167293
10,34,28,1,Status: Diseased,5.5378933118858304,3.944444574629107,1.4039729059715726,28.773554265423417
10,34,28,2,Sex: Male,0.2913019058233613,0.19467002161330443,1.496388110553601,33.17241743988184
10,34,28,3,Age,0.3507189278786665,0.24610311247202146,1.4250893633803123,29.828961909588624
10,34,28,4,Weight,11.005836330996267,6.787264478407191,1.6215422820209704,38.33031607700824
10,34,28,5,Length,0.0489740373259537,0.03255963613395753,1.5041334345526376,33.516536696265774
10,34,29,1,Status: Diseased,0.6039033275226147,0.3005215825837908,2.0095173276090263,50.23680630861618
10,34,29,2,Sex: Male,0.2225121620260873,0.13009138520919283,1.7104296465771172,41.53515743829727
10,34,29,3,Age,0.06502526444320599,0.025985076081339993,2.502408083765471,60.038492263209875
10,34,29,4,Weight,3.097690502202206,1.3093994193803455,2.3657338290772603,57.72981779653361
10,34,29,5,Length,0.011226165336653752,0.004443421720835952,2.5264685735347543,60.41906040410743
10,34,30,1,Status: Diseased,0.1861028462181638,0.060238270661844444,3.0894453670968898,67.63173058018222
10,34,30,2,Sex: Male,0.14466835186368956,0.1108945682704542,1.3045576002502348,23.34566140980021
10,34,30,3,Age,0.0631584278671035,0.039221263206892565,1.6103109054377507,37.90019078780581
10,34,30,4,Weight,5.809364666913717,2.8412901875000607,2.0446220848793866,51.09120617471024
10,34,30,5,Length,0.018748242934547642,0.011481556616854753,1.6329007956138546,38.75929250043196
10,34,31,1,Status: Diseased,0.6319642865852448,0.3804645246892848,1.6610334093601844,39.796514966836746
10,34,31,2,Sex: Male,0.2474359359846967,0.10821060461227042,2.2866144854405426,56.26722360208706
10,34,31,3,Age,0.06623323583330787,0.03567207422198464,1.8567251071845001,46.14173115177079
10,34,31,4,Weight,4.364471410657632,1.05938815015825,4.119803879253957,75.7269998934734
10,34,31,5,Length,0.007639670471351349,0.0038263870475261853,1.9965754578566501,49.914239601366575
10,34,32,1,Status: Diseased,0.2413180113712402,0.17611922671286043,1.3701968596800504,27.017786317689684
10,34,32,2,Sex: Male,0.49794120342903314,0.3064786122112499,1.6247176265788221,38.45084317170202
10,34,32,3,Age,0.09499103253799292,0.05642051192398396,1.6836258534125939,40.60438083835142
10,34,32,4,Weight,1.3369267187160765,0.6513519679300369,2.052541152158887,51.27990496326039
10,34,32,5,Length,0.008720436874434025,0.005483559163350633,1.5902877336889265,37.118297600124215
10,34,33,1,Status: Diseased,0.2841062914196155,0.14855260171648985,1.9124962345784264,47.712315354156445
10,34,33,2,Sex: Male,0.12444202796060035,0.0966749709073036,1.2872207438254217,22.313246986048863
10,34,33,3,Age,0.023677698165094352,0.014214333506812367,1.6657621093346775,39.9674182528134
10,34,33,4,Weight,4.564223172463317,2.8047714584426133,1.6273066237623732,38.54876607777978
10,34,33,5,Length,0.010259288336506241,0.0052574801315405555,1.9513698729851496,48.75394901581479
10,34,34,1,Status: Diseased,0.372271268496113,0.13416108568228644,2.7748081092434447,63.961471906154564
10,34,34,2,Sex: Male,0.14762504784982228,0.08137746177131794,1.8140778126586121,44.87557297586616
10,34,34,3,Age,0.10962689963629998,0.05973036429492003,1.835362983808615,45.51486497102219
10,34,34,4,Weight,3.7810787549973193,1.185587059538001,3.1892037995680624,68.64421144439132
10,34,34,5,Length,0.004777168429811855,0.0020888208612369515,2.2870168133915163,56.27491699472657
10,34,35,1,Status: Diseased,0.2875050522264359,0.10575095067844083,2.718699457375647,63.21770700740503
10,34,35,2,Sex: Male,0.34090594351318004,0.17028840366270592,2.001932816214662,50.04827375322007
10,34,35,3,Age,0.05528125614567756,0.019169883371251733,2.8837554759764754,65.32299606084362
10,34,35,4,Weight,12.470488071985333,6.429247394516197,1.9396497454153017,48.444300195760945
10,34,35,5,Length,0.01406551600149351,0.008664158113373855,1.6234140487097304,38.401420093981095
10,34,36,1,Status: Diseased,0.25769934715569087,0.15742007874079464,1.6370170134396544,38.913279960430714
10,34,36,2,Sex: Male,0.2747125863919478,0.11334607356565281,2.423662132705705,58.74012361270713
10,34,36,3,Age,0.07971372330072767,0.021271018951692432,3.747527256769485,73.31573777899513
10,34,36,4,Weight,8.82084217261489,1.9096016954889445,4.619205247592931,78.35125424398277
10,34,36,5,Length,0.004920440182122894,0.0023154689606833933,2.1250296443924963,52.94183294624673
10,34,37,1,Status: Diseased,0.3807515400674349,0.08076775613972528,4.7141527543336545,78.78728051226778
10,34,37,2,Sex: Male,0.3209128876833373,0.2192007353439389,1.4640137369056085,31.69462998935819
10,34,37,3,Age,0.12310966545914312,0.0560754881694389,2.195427440366677,54.450783404939976
10,34,37,4,Weight,4.227982954397269,2.413590335667718,1.7517400910654541,42.91390571578607
10,34,37,5,Length,0.018080340284976685,0.009245536630649965,1.9555749987554405,48.864144784198196
10,34,38,1,Status: Diseased,0.1371214199819176,0.04725391193981745,2.9018003875860128,65.53863579734742
10,34,38,2,Sex: Male,0.08409872854555889,0.0578947026721903,1.4526152594951607,31.158646898178787
10,34,38,3,Age,0.07716256070437044,0.04049383709435569,1.9055383792000757,47.52139285592405
10,34,38,4,Weight,5.203120228118332,2.2140631848226975,2.3500324036755074,57.44739525991318
10,34,38,5,Length,0.004444785596880942,0.0013607124226080356,3.266513572619377,69.38632037588283
