n_train,n_test,repetition,covariate_index,covariate,mse_mlm,mse_bayes,ratio_mlm_bayes,percent_reduction
50,48,1,1,SAMS status,0.058317949411077465,0.03039499810810729,1.9186692890605002,47.880543786174734
50,48,1,2,Fish Oil,0.028334340259207162,0.018655053655605602,1.5188560045064818,34.16097398087927
50,48,1,3,Interaction SAMS-Fish Oil,0.038048777972193915,0.01747013167360517,2.1779330965020764,54.08490730931658
50,48,2,1,SAMS status,0.043683928928500135,0.02870351766492275,1.5219015814874932,34.292728770108205
50,48,2,2,Fish Oil,0.0871226890731437,0.06844981421301531,1.2727965747579466,21.43284953527044
50,48,2,3,Interaction SAMS-Fish Oil,0.05416450535262735,0.04056735642434733,1.3351746361298371,25.10343044722455
50,48,3,1,SAMS status,0.024338410467080736,0.02507051701175079,0.9707981074212827,-3.0080294095634175
50,48,3,2,Fish Oil,0.0816060667637429,0.07457642114008968,1.0942609676917618,8.61412135448788
50,48,3,3,Interaction SAMS-Fish Oil,0.07160108650310412,0.04339572676381255,1.6499570774054155,39.39236276542925
50,48,4,1,SAMS status,0.07567979067100149,0.060332457787016486,1.2543793746670096,20.279301446146437
50,48,4,2,Fish Oil,0.021948005283139296,0.01647698241660335,1.332040341380893,24.92719860396082
50,48,4,3,Interaction SAMS-Fish Oil,0.028957508499518055,0.022361535707600154,1.2949695798252392,22.77810880044352
50,48,5,1,SAMS status,0.06863205322478075,0.042764766176384285,1.60487380994219,37.68980502984085
50,48,5,2,Fish Oil,0.035308666352210846,0.036714318705668096,0.9617137835315397,-3.9810406301829415
50,48,5,3,Interaction SAMS-Fish Oil,0.02522510154848082,0.018230332636839472,1.3836884960347058,27.72939842560359
50,48,6,1,SAMS status,0.024759761897481865,0.020443044927065203,1.2111582196202886,17.434404209095746
50,48,6,2,Fish Oil,0.03727141434737815,0.028354619706016507,1.3144741397984472,23.92395029138167
50,48,6,3,Interaction SAMS-Fish Oil,0.03318025647617619,0.018665427588669837,1.7776317375293906,43.74537881564648
