heterogeneity,n,m,rep,coef_mse_mlm,coef_mse_bayes,ratio_coef_mse,test_mse_mlm,test_mse_bayes,ratio_test_mse
moderate,200.0,770.0,6,0.007790914961996781,0.003437311080333765,2.2665725562553036,1.0772714901772824,1.0342369116951051,1.0416099812291983
moderate,200.0,770.0,7,0.007615893959517707,0.0035417517739746306,2.150318386364775,1.077192730744974,1.0363267090905173,1.0394335312368055
moderate,200.0,770.0,8,0.007704228987021614,0.00363359477369461,2.120277429612223,1.0854200371680924,1.042667321312016,1.041003218363341
moderate,200.0,770.0,9,0.007700968144375095,0.0035586336039102376,2.164023892741654,1.083589302869895,1.0400100527063707,1.041902720122868
moderate,200.0,770.0,10,0.00793694125161043,0.003501883777875857,2.2664776317690225,1.086925515264028,1.040710901505386,1.0444067739578713
moderate,400.0,770.0,1,0.0037642226380236615,0.002384438291882039,1.57866221610313,1.0448096258284474,1.031118197233513,1.013278233893717
moderate,400.0,770.0,2,0.0037073294722414435,0.0024010941471339364,1.5440167044956123,1.035057417144491,1.023396325729007,1.0113945019366541
moderate,400.0,770.0,3,0.003506378614024426,0.002230434001353446,1.5720611378309004,1.0436595609649635,1.0300801726387587,1.013182846041409
moderate,400.0,770.0,4,0.003543748063712789,0.00235407201555814,1.5053694365729005,1.0319031292213774,1.018773509592389,1.0128876727804215
moderate,400.0,770.0,5,0.0038198157352575257,0.0024757407362068023,1.542898123133056,1.0308136195295083,1.0198832080286604,1.0107173168602073
moderate,400.0,770.0,6,0.0034110731614768164,0.002181190002962529,1.5638587912304014,1.0330792847286603,1.0196719692169165,1.0131486555642402
moderate,400.0,770.0,7,0.0036624311352601744,0.002385071549985902,1.5355644719680726,1.0350033869067226,1.022268942064179,1.0124570397461454
moderate,400.0,770.0,8,0.003705556820138115,0.002365488925675234,1.5665077861568748,1.0398283073495838,1.0275936262312024,1.0119061473388593
moderate,400.0,770.0,9,0.003756136430969272,0.002406066507344543,1.561110808659539,1.03512450073834,1.0227991409724442,1.0120506160712819
moderate,400.0,770.0,10,0.0037546796222547715,0.0024158468139509727,1.5541877906216321,1.0419911581022332,1.029110128686283,1.0125166676110686
large,60.0,300.0,1,0.030852438636699987,0.011555628950624465,2.6699056164340345,1.3041501340468638,1.0937645570464372,1.1923499674999016
large,60.0,300.0,2,0.031995560634678295,0.012220424285825635,2.6182037453306486,1.4228323787974049,1.1806873782364036,1.2050881588339617
large,60.0,300.0,3,0.029416173778406943,0.011460019365285186,2.5668520131401116,1.3686568061534061,1.1460867806728905,1.194199976156989
large,60.0,300.0,4,0.03241723291847023,0.01144804842109267,2.831682023526603,1.2936171338714597,1.1023623657555506,1.1734953714469603
large,60.0,300.0,5,0.03311148657589414,0.011730822848516344,2.8226056265168062,1.3375008157606947,1.1481272393849702,1.1649412799204801
large,60.0,300.0,6,0.03260736158620194,0.012282590294253765,2.6547626196940586,1.39603200756484,1.1289351721124858,1.2365918274585752
large,60.0,300.0,7,0.03604517609828382,0.012215139552754285,2.9508607693439166,1.3522079193478005,1.083629224634801,1.247851099441799
large,60.0,300.0,8,0.02995784087315594,0.01130191384829702,2.650687421199022,1.2299252236657991,1.0810322781790436,1.1377321921761299
large,60.0,300.0,9,0.032690138503435745,0.011877303445656077,2.7523198891909773,1.213676587445952,1.0521299337875254,1.153542493631828
large,60.0,300.0,10,0.028144163051925707,0.011302629141625185,2.490054543882779,1.293187725327455,1.1250880274886075,1.1494102627810159
large,60.0,770.0,1,0.031314585868603466,0.011668285113383779,2.683735061691709,1.3327016744588838,1.1203479738140325,1.1895426292618083
large,60.0,770.0,2,0.03366285079826225,0.011750548158656997,2.864789824588887,1.3360522536559503,1.110404348154968,1.2032123756322781
large,60.0,770.0,3,0.026313550770508037,0.010537912333875505,2.497036408807432,1.2560741080086157,1.1099753882512424,1.1316233867018897
large,60.0,770.0,4,0.03680662204284207,0.012006459790714234,3.0655682594554823,1.3106879630879968,1.1184568742352017,1.1718717040245672
large,60.0,770.0,5,0.03296300570771388,0.012031226899473167,2.739787553101279,1.337067006881092,1.1145515777335029,1.199645699304545
large,60.0,770.0,6,0.03216827532953727,0.011826878280401576,2.719929517059764,1.3798400170086924,1.1330700402092617,1.2177888109669335
large,60.0,770.0,7,0.031266429901512176,0.0113056659912887,2.765554008547904,1.3395147948834516,1.1323323993661865,1.1829695905842081
large,60.0,770.0,8,0.03510832493466556,0.011682393208676046,3.005233971117494,1.373799608911474,1.1193128378539743,1.2273598251096804
large,60.0,770.0,9,0.034878104199930635,0.011808309046260552,2.953691681280633,1.35179668163242,1.1257639383190348,1.2007816520139136
large,60.0,770.0,10,0.03191030066805585,0.011659413445646106,2.736870153615823,1.4465807863084914,1.1576918621054204,1.249538701669447
large,200.0,300.0,1,0.007639356979664276,0.005076749153418787,1.504773379342522,1.0652641430611454,1.0382266450582167,1.0260419997229147
large,200.0,300.0,2,0.007947457745021827,0.005291869780127363,1.5018241331007487,1.0888348730323139,1.0606924765075083,1.0265320978022476
large,200.0,300.0,3,0.007305372978692518,0.004736531607458599,1.54234650671153,1.0530207580175417,1.0303003171519385,1.0220522506762002
large,200.0,300.0,4,0.007510601329543632,0.004975512886881991,1.5095129889715364,1.0637861838361136,1.0357535031146525,1.0270650117399196
large,200.0,300.0,5,0.006782863835552215,0.004659119218079166,1.4558253433893917,1.0519193759172498,1.0315568521397962,1.019739604012338
large,200.0,300.0,6,0.007710468276045925,0.005349692199491603,1.4412919451288568,1.085717432828774,1.0604989685819504,1.0237798102534175
