n_train,n_test,repetition,covariate_index,covariate,mse_mlm,mse_bayes,ratio_mlm_bayes,percent_reduction
250,534,19,1,Sex: Female,0.0057697550836011075,0.004590810069016282,1.2568054432357403,20.43318992751776
250,534,19,2,Age,3.0297786540301617e-5,2.2489252206550357e-5,1.3472118264331128,25.77262310355404
250,534,19,3,BMI,0.00011087907627720124,8.003143740493242e-5,1.3854440189070958,27.820973900565992
250,534,19,4,SmokingPackYears,1.1642654979451575e-5,5.850257638236188e-6,1.9901097865087793,49.75151588223253
250,534,19,5,PercentEmphysema,7.005027208517276e-5,4.236015863739028e-5,1.6536829496984247,39.52891633898954
250,534,19,6,COPD: 1,0.010405644979735267,0.006340930669480211,1.6410280323390218,39.06258879839727
250,534,19,7,NHW: 1,0.022869300541344034,0.01770277758637065,1.2918481537581472,22.591521527443035
250,534,19,8,CurrentSmoker: 1,0.008585965653325095,0.00761162150378093,1.1280074356114762,11.348102110877068
250,534,19,9,Site: UIA,0.006127468959173205,0.004349087150185273,1.408909214181227,29.023105964912045
250,534,20,1,Sex: Female,0.004770945254472429,0.0042692811488485765,1.1175055209842881,10.514983485789886
250,534,20,2,Age,4.326883911334743e-5,2.856732972021633e-5,1.514626656992979,33.97712925604244
250,534,20,3,BMI,0.00014581858716019333,0.00010895974080866186,1.3382794973444112,25.277193442451264
250,534,20,4,SmokingPackYears,1.179578617692867e-5,5.639187757301721e-6,2.0917526928688046,52.19320126087581
250,534,20,5,PercentEmphysema,8.651297159011233e-5,6.341909449074786e-5,1.3641470646152731,26.694120748481943
250,534,20,6,COPD: 1,0.00809762550968459,0.005955717750393206,1.359638896445348,26.451059717811198
250,534,20,7,NHW: 1,0.024266035085392393,0.016724999793990447,1.450884028955956,31.076503701016566
250,534,20,8,CurrentSmoker: 1,0.007586966842318618,0.0054207913839814615,1.3996050216465155,28.551270927594587
250,534,20,9,Site: UIA,0.006707066592224824,0.004286752367368475,1.564603228140775,36.08603241933071
250,534,21,1,Sex: Female,0.004634911684713653,0.0035209803261186316,1.3163696628271049,24.033496954620848
250,534,21,2,Age,2.6688498921402682e-5,2.0499708371282904e-5,1.3018965166738357,23.188979523897892
250,534,21,3,BMI,0.00010247795655024377,9.622088237167893e-5,1.065028235288835,6.105775709429828
250,534,21,4,SmokingPackYears,1.1475652828667196e-5,4.911005463636446e-6,2.336721657843531,57.205001432525734
250,534,21,5,PercentEmphysema,9.419891570916231e-5,5.534148277841403e-5,1.7021393533370348,41.25040361475073
250,534,21,6,COPD: 1,0.0103576717726852,0.009004989161073253,1.150214796199791,13.059716906449781
250,534,21,7,NHW: 1,0.02916768014740624,0.01898833909441637,1.5360838039796312,34.89938521523137
250,534,21,8,CurrentSmoker: 1,0.007949483596261485,0.004770611346597117,1.6663448389967592,39.9884119662734
250,534,21,9,Site: UIA,0.005737980301375798,0.004828871237923476,1.1882653354499588,15.843711823729056
250,534,22,1,Sex: Female,0.006656225027241778,0.005611083405423549,1.1862637829992009,15.701717077484645
250,534,22,2,Age,3.0494264353755804e-5,2.808498880394089e-5,1.0857851703852859,7.900749865173173
250,534,22,3,BMI,0.00011057841483920411,9.987912841950079e-5,1.1071223446681013,9.675745881564247
250,534,22,4,SmokingPackYears,9.599574419856938e-6,4.7171488801271206e-6,2.035037405814981,50.86085409818178
250,534,22,5,PercentEmphysema,8.590143104447854e-5,6.735001670528106e-5,1.2754478060544092,21.596164480184065
250,534,22,6,COPD: 1,0.013186711957120267,0.011169342941770093,1.180616624081422,15.298499139968547
250,534,22,7,NHW: 1,0.023732909885502702,0.019155700307178492,1.2389476503038068,19.286339519285868
250,534,22,8,CurrentSmoker: 1,0.011429856226256184,0.007700800479229047,1.4842426131004587,32.62557002651448
250,534,22,9,Site: UIA,0.005697806705219925,0.004618272391826299,1.2337528456104605,18.946488872720668
250,534,23,1,Sex: Female,0.005071057189855065,0.004732078256962026,1.0716342618371366,6.684581147520586
250,534,23,2,Age,2.8419430559359352e-5,2.358165651121875e-5,1.205149881893966,17.022769115785042
250,534,23,3,BMI,0.0001221131290111614,0.00010435810147150114,1.1701355935888593,14.539818677512894
250,534,23,4,SmokingPackYears,1.7409858051888472e-5,8.060649379899738e-6,2.1598580004363153,53.700659960146034
250,534,23,5,PercentEmphysema,5.945800760599117e-5,5.0979371859005185e-5,1.1663150297425307,14.259871947225577
250,534,23,6,COPD: 1,0.011724768290253783,0.010138113081455739,1.156503995965511,13.532508016529011
250,534,23,7,NHW: 1,0.021428411158198234,0.015430995471672823,1.3886603231486303,27.98814920177074
250,534,23,8,CurrentSmoker: 1,0.009819217768053319,0.007353851007214173,1.3352483968495699,25.107567823377753
250,534,23,9,Site: UIA,0.008141371917976979,0.006179300018605341,1.3175233268273119,24.100015564197275
250,534,24,1,Sex: Female,0.00491555990248727,0.003978662522313244,1.2354804849417844,19.059830390836176
250,534,24,2,Age,4.444451319875523e-5,2.7576710710406408e-5,1.6116683989430092,37.952496887335116
250,534,24,3,BMI,0.00015210459880117362,0.00011323340729007168,1.343283775004006,25.55556624682541
250,534,24,4,SmokingPackYears,1.4160152603948953e-5,5.86216291128723e-6,2.4155167330277463,58.60099057370044
250,534,24,5,PercentEmphysema,9.273717503496697e-5,5.1277506204384356e-5,1.8085352018744958,44.70663335922197
250,534,24,6,COPD: 1,0.01085668901648752,0.00890904064498228,1.2186148261207215,17.93961647558886
250,534,24,7,NHW: 1,0.03302085306278254,0.02697094264435411,1.224312160616858,18.321484326663928
250,534,24,8,CurrentSmoker: 1,0.008663144744871908,0.005691985450704913,1.5219899664007466,34.29654451896067
250,534,24,9,Site: UIA,0.006706935849246378,0.004378309251871969,1.5318552124610185,34.71967899672194
250,534,25,1,Sex: Female,0.005204952828385182,0.004708940545510854,1.1053341570318165,9.529621097992036
250,534,25,2,Age,4.045810918605882e-5,2.5493967755205086e-5,1.586967928042449,36.98675427968375
250,534,25,3,BMI,0.00015343362678125178,9.978867391837568e-5,1.5375855871855373,34.9629699748654
250,534,25,4,SmokingPackYears,1.8017401251607116e-5,7.48949833704425e-6,2.4056886644183075,58.43186132974532
250,534,25,5,PercentEmphysema,7.765236193779604e-5,5.908141957096253e-5,1.314327964725492,23.91548937263478
250,534,25,6,COPD: 1,0.00736009887400933,0.0072743984618642964,1.011781099508683,1.1643921313022942
250,534,25,7,NHW: 1,0.02686439516392374,0.022630443720032558,1.1870909601362907,15.760456984257598
250,534,25,8,CurrentSmoker: 1,0.00791383052918741,0.006503453024141556,1.2168659479526294,17.821679398417324
250,534,25,9,Site: UIA,0.006831471810792161,0.004063275439832753,1.6812721440989362,40.521229504106145
250,534,26,1,Sex: Female,0.008032146501653499,0.0057506598887317704,1.3967347499357816,28.40444472037532
250,534,26,2,Age,3.950326064071477e-5,2.5091917524809636e-5,1.5743420406852493,36.48140148980972
250,534,26,3,BMI,0.0001475452771036452,0.00010724196082695905,1.3758166669641356,27.315897240393895
250,534,26,4,SmokingPackYears,1.3057656428129246e-5,5.671364361554998e-6,2.3023836233560284,56.56675152412838
250,534,26,5,PercentEmphysema,6.586061191549348e-5,3.8844208306006365e-5,1.6955066092905708,41.02057788978969
250,534,26,6,COPD: 1,0.011706123894870328,0.007444771444376611,1.5723953357510414,36.4027622530209
250,534,26,7,NHW: 1,0.025258979821175403,0.01927859594990988,1.3102084761153718,23.67626845424683
250,534,26,8,CurrentSmoker: 1,0.009166108282357446,0.005993612636019141,1.529312759932618,34.61115174086036
250,534,26,9,Site: UIA,0.0076430747890788514,0.005007483712101429,1.5263304343073691,34.48338724545002
250,534,27,1,Sex: Female,0.006361843014890233,0.0054017231689286165,1.1777432526502551,15.091850643192616
250,534,27,2,Age,3.162235304046319e-5,2.0417202705832013e-5,1.5488092808830525,35.43427119510475
250,534,27,3,BMI,0.00010667420020360145,8.378960348343585e-5,1.2731197638939726,21.452794280610867
250,534,27,4,SmokingPackYears,1.5031295257373422e-5,6.367032735568905e-6,2.36080068717133,57.64148979479574
250,534,27,5,PercentEmphysema,7.296192815746455e-5,5.919031691269061e-5,1.232666624594829,18.87506483525545
250,534,27,6,COPD: 1,0.008372106099223417,0.0049557190798564625,1.689382703965921,40.806781219409686
250,534,27,7,NHW: 1,0.020317631113439788,0.015768263811118885,1.2885141545585346,22.391228962275868
250,534,27,8,CurrentSmoker: 1,0.007502081822791779,0.006418256180689833,1.1688660613708095,14.446998415949263
250,534,27,9,Site: UIA,0.00701414380511679,0.004780403104156376,1.46727036450509,31.84623473688847
250,534,28,1,Sex: Female,0.006377249888279813,0.0054765102422074515,1.1644732879581532,14.124264563126998
250,534,28,2,Age,2.9782512090346073e-5,2.475515083935917e-5,1.2030834424564971,16.880245815854167
250,534,28,3,BMI,0.00010773355852603871,8.824057620462707e-5,1.2209072419949756,18.093695769550088
250,534,28,4,SmokingPackYears,1.1792263344690626e-5,7.386405598602008e-6,1.5964819677547217,37.36227403768354
250,534,28,5,PercentEmphysema,7.817543197989894e-5,4.89699205675408e-5,1.596396952943328,37.35893831692248
250,534,28,6,COPD: 1,0.010916838257475246,0.007241949678047769,1.5074446444397451,33.66257237447955
250,534,28,7,NHW: 1,0.03493868037465248,0.023320792019826498,1.4981772636602082,33.25222426904995
250,534,28,8,CurrentSmoker: 1,0.010397551405376943,0.007227189198781046,1.4386715387402087,30.49143094360073
250,534,28,9,Site: UIA,0.005956365731789788,0.0037384785884404382,1.5932592874029472,37.235576914161584
250,534,29,1,Sex: Female,0.0060738013912166105,0.004363157120954155,1.3920657044521845,28.1643102906894
250,534,29,2,Age,2.9461340843350358e-5,1.9237864099527065e-5,1.5314247304655106,34.70132876226781
250,534,29,3,BMI,0.00010301024935749084,8.102423834360253e-5,1.2713510359782885,21.34351790333715
250,534,29,4,SmokingPackYears,1.3299681984666201e-5,6.202735696894412e-6,2.144163903570015,53.36177433380871
250,534,29,5,PercentEmphysema,9.660196110568564e-5,6.554322964589755e-5,1.473866357022462,32.15124320903677
250,534,29,6,COPD: 1,0.009738178605365331,0.00821374094872206,1.1855960233175422,15.654238009183452
250,534,29,7,NHW: 1,0.021135237286122002,0.015167535960557822,1.3934522615329739,28.235790517870097
250,534,29,8,CurrentSmoker: 1,0.008699313982756139,0.005699412716024372,1.5263526991644762,34.4843429341463
250,534,29,9,Site: UIA,0.009108077445622049,0.00560654707518061,1.6245431142355369,38.444231412684225
250,534,30,1,Sex: Female,0.006208752514550676,0.005178717690875052,1.1988976586792046,16.590044799847647
250,534,30,2,Age,3.939669443481057e-5,2.6948511529093443e-5,1.461924692659858,31.597023771410694
250,534,30,3,BMI,0.00014014029185925256,0.00011883195748864897,1.1793148477978999,15.205002136005419
250,534,30,4,SmokingPackYears,9.995863276488777e-6,5.2550609228377836e-6,1.902140322112748,47.42764304111494
