n_train,n_test,covariate_index,covariate,mean_mse_mlm,mean_mse_bayes,sd_mse_mlm,sd_mse_bayes,mean_repetition_ratio,median_repetition_ratio,sd_repetition_ratio,se_repetition_ratio,ratio_of_mean_mses,percent_reduction_from_mean_mses,R
250,534,4,SmokingPackYears,1.3052725447590666e-5,6.323202403098005e-6,2.284916033763742e-6,1.0264419554142013e-6,2.078515745812336,2.0702277609456283,0.2763083372066422,0.027630833720664223,2.0642586802528387,51.55645900553917,100
300,484,4,SmokingPackYears,1.2229046494918895e-5,6.5409809091877565e-6,2.1716944836704028e-6,1.038339962938924e-6,1.8799047192195808,1.8670076727836633,0.24118908231403513,0.024118908231403512,1.8696043704609235,46.512748055169304,100
400,384,4,SmokingPackYears,1.1222926166973647e-5,7.441962397991154e-6,1.7958356191130653e-6,1.262938121725074e-6,1.5194975626422778,1.4938598126599338,0.17152948092484885,0.017152948092484886,1.5080600474416677,33.689643081756635,100
500,284,4,SmokingPackYears,1.221186978388027e-5,9.403454555055445e-6,1.709889213584971e-6,1.4410023236307182e-6,1.3074837852871566,1.2798883280470772,0.1303474699696891,0.01303474699696891,1.2986578190368323,22.997422004384195,100
600,184,4,SmokingPackYears,1.5903386343993703e-5,1.3779183495388314e-5,2.7626115500073063e-6,2.8955067502412737e-6,1.1678708513783531,1.1545590069265872,0.10758327983273462,0.010758327983273462,1.154160284556507,13.356921618191365,100
40,744,5,PercentEmphysema,0.0005263718802646217,0.00010712996072859459,0.0003118459446720786,4.655786681770478e-5,4.953653902487653,4.625850043066359,1.9744356786708228,0.19744356786708228,4.913395624200254,79.64747648093638,100
60,724,5,PercentEmphysema,0.0002845028381780586,7.748621888840984e-5,0.00012084236879765072,3.177505275804853e-5,3.7226986855374298,3.6373112171585467,0.8262008914894696,0.08262008914894696,3.671657260599842,72.76434239298717,100
80,704,5,PercentEmphysema,0.0002073896583101354,6.513268140726537e-5,6.299961179073667e-5,1.5558002492325037e-5,3.20306099129171,3.097425360743823,0.7157245276327732,0.07157245276327731,3.1841105544750636,68.59405529765404,100
100,684,5,PercentEmphysema,0.0001797408234147376,6.405726190214715e-5,5.316230065416851e-5,1.66987497510952e-5,2.821365433286931,2.741515897932574,0.5374372663431426,0.05374372663431426,2.8059398431563753,64.36131720931303,100
125,659,5,PercentEmphysema,0.00013373133521048605,5.733640212857703e-5,2.9848387720875675e-5,1.0286663528256012e-5,2.351496408953637,2.275236970363908,0.4462547374912595,0.04462547374912595,2.332398445765627,57.125678855795044,100
150,634,5,PercentEmphysema,0.00011545267516505916,5.7004972810086275e-5,2.3984369664081463e-5,1.0194615101499048e-5,2.04932962944306,1.9914573660395822,0.39081918557554723,0.039081918557554725,2.0253088366464644,50.624814255201954,100
200,584,5,PercentEmphysema,8.955004600340488e-5,5.289144797434097e-5,1.4387934698588119e-5,9.129342037482564e-6,1.7213204121104306,1.6927408390082614,0.30422199736870403,0.030422199736870402,1.6930912166906067,40.93643684746971,100
250,534,5,PercentEmphysema,7.907544893729124e-5,5.1896315474627134e-5,1.5093233264936778e-5,1.039600340127819e-5,1.5492661648562356,1.5554092057861229,0.257205648526357,0.025720564852635703,1.5237199060105218,34.37114025646294,100
300,484,5,PercentEmphysema,7.229077504306692e-5,5.1124122968147214e-5,1.1832619970720865e-5,9.505791226424587e-6,1.4365607817534933,1.4140309553953279,0.2308178746878615,0.023081787468786148,1.414024746949841,29.279879849551705,100
400,384,5,PercentEmphysema,6.814784309281659e-5,5.622148540025075e-5,1.0187712159474596e-5,1.0796297768519277e-5,1.232032477424451,1.2255681084560242,0.1733564028693107,0.01733564028693107,1.2121316718628115,17.50071191001933,100
500,284,5,PercentEmphysema,7.163852872863998e-5,6.258288862246824e-5,1.1857379343033565e-5,1.301555835672834e-5,1.1585554007106829,1.161826444017721,0.12842642519006564,0.012842642519006565,1.144698340161317,12.640739929868817,100
600,184,5,PercentEmphysema,9.649028461204992e-5,8.944380695843904e-5,1.813996833403188e-5,1.9064835272261526e-5,1.087849864083831,1.0783312736034705,0.09235178271018116,0.009235178271018116,1.0787810569924097,7.302784608773861,100
40,744,6,COPD: 1,0.052974098141654755,0.012170402013519974,0.01507351912159705,0.0040907092591391785,4.484744594150808,4.3378793221632055,0.900218207365361,0.0900218207365361,4.352699120604757,77.02574948803121,100
60,724,6,COPD: 1,0.03179112116248477,0.009444676879733011,0.0068959164237571,0.0026351225971444144,3.4697656372311627,3.304048384040498,0.732706370011138,0.0732706370011138,3.36603587050227,70.29146335713936,100
80,704,6,COPD: 1,0.02386734318825344,0.00802920149115844,0.005729774099068403,0.0017108586774405106,3.0077568876839225,2.8380930485748754,0.5900331918736703,0.05900331918736703,2.972567473183426,66.35904789306379,100
100,684,6,COPD: 1,0.019150208736947148,0.007546989363357648,0.003366307794001994,0.0013625931486858276,2.5719918003634628,2.4701164541400473,0.41948179747086173,0.04194817974708617,2.5374633267572593,60.59056343967162,100
125,659,6,COPD: 1,0.01573292737827064,0.007123622075911094,0.002624970804241229,0.00117047397887644,2.2389608923818334,2.2110316754212427,0.36791870380394726,0.03679187038039473,2.2085572775501903,54.721572758609405,100
150,634,6,COPD: 1,0.013398460150768697,0.007067434591893558,0.002178405288025971,0.0013604522066123562,1.9359379848160227,1.878863568159983,0.34906117762045513,0.03490611776204551,1.8958024975762648,47.25188930395047,100
200,584,6,COPD: 1,0.010689955846148201,0.006362998350044447,0.001813971001349196,0.001417338799140814,1.7245357147992002,1.7235037463344967,0.30926542930936574,0.030926542930936572,1.6800186418520018,40.47685096531845,100
250,534,6,COPD: 1,0.00948492781456063,0.006622170312521547,0.0018807341178128723,0.0015880052357854842,1.4680922055875976,1.4577330632116707,0.26011752038494346,0.026011752038494346,1.4322989846132514,30.182174899047386,100
300,484,6,COPD: 1,0.0086012468884084,0.006241169094949266,0.001402764173865701,0.0013122068722392524,1.405105298612092,1.4091154776273522,0.2155583146041953,0.02155583146041953,1.378146747436959,27.438786772179846,100
400,384,6,COPD: 1,0.007984294090382512,0.006501277992808423,0.001192465895188609,0.0013523212133893254,1.254963454639543,1.2697886081326704,0.19165860900357556,0.019165860900357556,1.2281114727311415,18.574166742686206,100
500,284,6,COPD: 1,0.008733466252979834,0.007923970535903425,0.0014066776751130929,0.0017153322681489568,1.1227611846206325,1.1258055261685884,0.14724442809025134,0.014724442809025134,1.102157840366593,9.268893857581595,100
600,184,6,COPD: 1,0.011425159883662954,0.010683636580560691,0.0019099099461903446,0.002264813049575275,1.0820405404837121,1.0752536890853266,0.10473548152037544,0.010473548152037545,1.069407387410715,6.4902663127067495,100
40,744,7,NHW: 1,0.33149655055842286,0.08591352033727315,0.8198980344195904,0.18814390471881196,3.4638755396453758,3.3546591367243264,0.88932618062649,0.088932618062649,3.8584910647015445,74.08313293379751,100
60,724,7,NHW: 1,0.10645283602626886,0.036824900649256316,0.0734581675153105,0.02345182231009197,2.8639051169372176,2.7572041203906963,0.7033789474978337,0.07033789474978337,2.8907840659284627,65.40730897937823,100
80,704,7,NHW: 1,0.07430601122722166,0.029686311851182264,0.03191782386364158,0.008995559766315369,2.4666653934847576,2.3371186619687565,0.528459912690725,0.0528459912690725,2.5030395018323035,60.04857297425915,100
